,id,release_year,genres
0,135397,2015,Action
1,76341,2015,Action
2,262500,2015,Adventure
3,140607,2015,Action
4,168259,2015,Action
5,281957,2015,Western
6,87101,2015,Science Fiction
7,286217,2015,Drama
8,211672,2015,Family
9,150540,2015,Comedy
10,206647,2015,Action
11,76757,2015,Science Fiction
12,264660,2015,Drama
13,257344,2015,Action
14,99861,2015,Action
15,273248,2015,Crime
16,260346,2015,Crime
17,102899,2015,Science Fiction
18,150689,2015,Romance
19,131634,2015,War
20,158852,2015,Action
21,307081,2015,Action
22,254128,2015,Action
23,216015,2015,Drama
24,318846,2015,Comedy
25,177677,2015,Action
26,214756,2015,Comedy
27,207703,2015,Crime
28,314365,2015,Drama
29,294254,2015,Action
30,280996,2015,Mystery
31,198184,2015,Crime
32,254470,2015,Comedy
33,296098,2015,Thriller
34,257445,2015,Adventure
35,264644,2015,Drama
36,339527,2015,Crime
37,105864,2015,Adventure
38,241554,2015,Action
39,167073,2015,Drama
40,277216,2015,Drama
41,274854,2015,Fantasy
42,321697,2015,History
43,203801,2015,Comedy
44,293863,2015,Fantasy
45,325348,2015,Action
46,228161,2015,Fantasy
47,286565,2015,Drama
48,265208,2015,Thriller
49,254320,2015,Thriller
50,258480,2015,Romance
51,257211,2015,Comedy
52,253412,2015,Adventure
53,274479,2015,Comedy
54,257088,2015,Action
55,295964,2015,Drama
56,238615,2015,Science Fiction
57,210860,2015,Comedy
58,306819,2015,Drama
59,201088,2015,Mystery
60,273481,2015,Action
61,166424,2015,Action
62,310131,2015,Mystery
63,238713,2015,Action
64,256591,2015,Romance
65,249070,2015,Action
66,205775,2015,Thriller
67,334074,2015,Crime
68,312221,2015,Drama
69,271718,2015,Comedy
70,333352,2015,Drama
71,276907,2015,Crime
72,284289,2015,Thriller
73,266647,2015,Adventure
74,347096,2015,Action
75,308369,2015,Comedy
76,227973,2015,Adventure
77,321741,2015,Drama
78,296100,2015,Comedy
79,263472,2015,Drama
80,228205,2015,Romance
81,159824,2015,Animation
82,333348,2015,Family
83,285783,2015,Adventure
84,290764,2015,Action
85,296099,2015,Adventure
86,243688,2015,Horror
87,287424,2015,Horror
88,301875,2015,Drama
89,181283,2015,Crime
90,328425,2015,Thriller
91,274167,2015,Comedy
92,370687,2015,Fantasy
93,307663,2015,Thriller
94,309809,2015,Adventure
95,258509,2015,Adventure
96,298382,2015,Drama
97,272693,2015,Romance
98,283445,2015,Horror
99,256961,2015,Action
100,326359,2015,Adventure
101,254302,2015,Action
102,241251,2015,Thriller
103,292040,2015,Thriller
104,188222,2015,Comedy
105,252838,2015,Comedy
106,273477,2015,Comedy
107,298312,2015,Horror
108,261023,2015,Crime
109,336004,2015,Crime
110,287903,2015,Horror
111,182560,2015,Drama
112,192141,2015,Action
113,308639,2015,Crime
